topic_id,non_shein_labor,shein_labor,shein_environment,non_shein_environment,lift_sheinLabor_vs_nonSheinLabor,ratio_sheinLabor_vs_nonSheinLabor,n_comments,label,examples,keywords_short,summary,net_negative,amplification,support_rate_wavg,oppose_rate_wavg,neutral_rate_wavg,controversy_wavg,resonance_wavg,avg_reply_weight,threads_with_replies,polarity_wavg,alignment_wavg,resonance_strength_wavg,volume_weight,risk_penalty,destructiveness_base,destructiveness_stance,priority
0,0.018608948132505042,0.026744501764861966,0.0,0.0,0.008135553632356924,1.437184957324979,479,jeans | fur | barrel jeans | wear | wearing | faux fur,"🗣️ they love to say “can you believe this is from shein?!?” and it’s the most poorly sewn, polyester jacket i’ve ever seen in my life...<br><br>🗣️ lol. hope that leather jacket at the end is real. looks very much like a forever21 cheap piece that you wear 5-6 times and throw away. perhaps buys better quality clothes that you can wear for the rest of your life?<br><br>🗣️ where are the sweatpants you were wearing from?","jeans, fur, barrel jeans, wear"," It's the most poorly sewn, polyester jacket i’ve ever seen in my life... lol. hope that leather jacket at the end is real. looks very much like a forever21 cheap piece that you wear 5-6 times and throw away .",0.15078018875165583,16.09812108559499,0.013108614229772393,0.11516853932364773,0.8717228464465798,0.6313301823177401,0.009453072246132543,3.0918580375782883,66,-0.10205992509387535,0.12827715355342018,0.01309195668291761,6.173786103901937,0.15078018875165583,-10.375242167797257,-15.28623953077947,-15.28623953077947
1,0.019862742510227013,0.0166983437415128,0.0,0.0,-0.0031643987687142126,0.8406866721565974,424,cheap | money | buy | cost | price | pay,"🗣️ prices can't be ""cheap"". or ""expensive"". prices can be either ""low"" or ""high"".<br><br>🗣️ price of cheap is always far greater than you think.<br><br>🗣️ well, thats the real price is on another country, people in the us just got scam for more expensive for the same item all of this time","cheap, money, buy, cost"," Prices can't be ""cheap"". or ""expensive"". prices can be either ""low"" or ""high"". price of cheap is always far greater than you think . well, thats the real price is on another country .",0.28935170428317264,59.615566037735846,0.032334759866968626,0.16595339990489008,0.8017118402281412,0.7912854030515007,0.029629629629443793,10.825471698113208,40,-0.13361864003792145,0.19828815977185876,0.026494994244337853,6.052089168924417,0.28935170428317264,-1.0611302174170276,0.43520007195393073,0.43520007195393073
2,0.020588623465750258,0.011267988053215956,0.0,0.0,-0.009320635412534303,0.5472919316178972,395,chinese | china | brands | nike | products | chinese brands,"🗣️ all these brands discriminate against chinese while wishing to continue to feed on their money. it makes more sense to simply close all their shops and no longer sell to any chinese.<br><br>🗣️ chinese around the world should boycott those brands and products. from indonesia<br><br>🗣️ i don't know why chinese public so in love with foreign brands when foreigners always look down on chinese brands and have actively call for a boycott chinese made products. they should be proud of chinese made products. most of the foreign brands are made in china, and in many cases just slap on their foreign labels on chinese made products and then hike up a hefty prices margin because they are us or western names. just buy chinese brands, same top quality at a much more reasonable prices.","chinese, china, brands, nike",,0.43161178338341416,24.835443037974684,0.01661951909493357,0.27263083451371517,0.7107496463913513,0.6603295310561754,0.01489226869434212,7.989873417721519,67,-0.2560113154187816,0.2892503536086487,0.07405136351269787,5.981414211254481,0.43161178338341416,0.8399408328790486,4.910710325838017,4.910710325838017
3,0.021776428665697387,0.016291067064890537,0.0,0.0,-0.00548536160080685,0.7481055120138684,450,capitalism | money | greed | world | poor | make,🗣️ blame the greed of capitalism.<br><br>🗣️ it's all about greed. from the government to the corporations.<br><br>🗣️ capitalism at its finest . providing the goods we need here for less than 99 cents while half the world suffers .,"capitalism, money, greed, world", Capitalism at its finest . providing the goods we need here for less than 99 cents while half the world suffers . blame the greed of capitalism .,0.4633410530004443,10.155555555555555,0.022650056623383444,0.21630804077059543,0.7610419026060211,0.5422153369550983,0.015491866767994415,2.868888888888889,42,-0.19365798414721197,0.23895809739397889,0.0462761434369711,6.111467339502679,0.4633410530004443,0.6339399351322331,-2.31484692795132,-2.31484692795132
4,0.00013197835554968113,0.056204181373872356,0.0,0.0,0.05607220301832268,425.85585556004145,416,buy | clothing | it's | fashion | don't | cheap,"🗣️ who is still shopping from shein? their clothes are complete garbage and not even actually worth paying $1. i partake in fast fashion, but i only buy if i think it will last a year. shein might as well be disposable clothing<br><br>🗣️ there is no second hand market for shein clothing. it falls apart quickly, it becomes ugly quickly, and most goodwills are so fully stocked with thousands of shein pieces nowadays, most of them are refusing shein pieces now. so these clothes end up in the trash.<br><br>🗣️ i only bought from shein one time because i was drawn in by the cheap prices. i will never do it again. i ended up donating everything i got because it fit so bad and i am someone who never has problems with fit. i'm not surprised to find this out about shein. this is why i am willing to pay more money for higher quality and sustainable clothing. i wear my clothes for a few years and will even resell them if they are still in good condition after that so i don't mind paying up for clothes.","buy, clothing, it's, fashion",,0.5042977173557469,43.93990384615385,0.014227999297220946,0.10223080976663776,0.8835411909361413,0.8420006624718965,0.013415038091761384,14.514423076923077,71,-0.08800281046941681,0.11645880906385875,0.010248702501540762,6.0330862217988015,0.5042977173557469,5.263038396379961,6.030215268377777,6.030215268377777
5,0.0377458096872088,0.008824327993482374,0.0,0.0,-0.02892148169372643,0.23378297704631731,637,children | kids | school | work | child | life,"🗣️ poor kids, they deserve to be kids.<br><br>🗣️ we need to work for them. this children need a little love and a bit care from us, don't they? let's come forward to save the future.<br><br>🗣️ i do not understand! these children arent allowed to be children. this breaks my heart. my children never knew how good they really had it. kids today dont know.","children, kids, school, work"," This children need a little love and a bit care from us, don't they? let's come forward to save the future . i do not understand! these children arent allowed to be children. this breaks my heart. my children never knew how good they really had it .",0.2742896942367241,22.108320251177393,0.05263157894751617,0.15621052631711563,0.7911578947353682,0.6524991499522855,0.04250255015184344,4.616954474097331,71,-0.10357894736959947,0.20884210526463176,0.021631645429761644,6.45833828334479,0.2742896942367241,-5.4646308151632725,-8.74993387855414,-8.74993387855414
6,0.015705424310412056,0.0013575889220742115,0.0,0.0,-0.014347835388337844,0.08644076140836413,248,xinjiang | china | killed muslims | muslims | chinese | complains ask,"🗣️ i would suggest that you all fly to xinjiang to see for yourself before you say a word of such things. most of the so call xinjiang expert have not put their foot on the ground. so please get a mirror and see yourself first.<br><br>🗣️ they even not been in xinjiang, people there are happy and free. a xinjiang friend drive his jeep pick me up to travel there.... not as the medias told us<br><br>🗣️ ridiculous rumors about xinjiang. chinese people have the right to fight back!","xinjiang, china, killed muslims, muslims",,0.3301604648032451,25.504032258064516,0.003874092009720778,0.08910411622064049,0.9070217917696388,0.8328924162290359,0.0035273368606241378,9.14516129032258,45,-0.08523002421091971,0.09297820823036118,0.007924534938561618,5.517452896464707,0.3301604648032451,-2.528170862521628,-2.3435354419654884,-2.3435354419654884
7,0.01847696977695536,0.01642682595709796,0.0,0.0,-0.0020501438198574015,0.8890432395761344,401,emoji | emoji emoji | china | world | china emoji | emoji india,🗣️ <emoji> economic war continues <emoji><br><br>🗣️ this world is an unjust place <emoji><br><br>🗣️ and the workers <emoji> must rule society,"emoji, emoji emoji, china, world",,0.3096356653672831,66.10972568578553,0.01091081593925945,0.14326375711547462,0.845825426945266,0.7388302193366324,0.009341998375075862,6.139650872817955,47,-0.13235294117621518,0.15417457305473403,0.020405458198381302,5.996452088619021,0.3096356653672831,0.28133695653547647,-0.5099023629057721,-0.5099023629057721
8,0.019862742510227013,0.030545750746669757,0.0,0.0,0.010683008236442745,1.5378414734571906,526,emoji | emoji emoji | emoji baby | ptsd emoji | peele | ptsd,🗣️ <emoji> he got that ptsd <emoji><br><br>🗣️ 5:30 <emoji> that was <emoji><br><br>🗣️ her reaction the whole time got me <emoji>,"emoji, emoji emoji, emoji baby, ptsd emoji"," <emoji: He got that ptsd . <emojosh: ""That was <em emoji> her reaction the whole time got me <emmoosh""",0.12304933226440268,199.40114068441065,0.11673858732765606,0.253009311833569,0.630252100838775,0.5820528580229248,0.1053062896943169,9.279467680608365,48,-0.13627072450591293,0.36974789916122497,0.05038581410323936,6.267200548541362,0.12304933226440268,6.201091604588484,4.911018670114399,4.911018670114399
9,0.0009898376666226086,0.024029323920713542,0.0,0.0,0.023039486254090934,24.27600045440041,192,influencers | influencer | influencers influencers | company | emoji | tour,"🗣️ influencers are still a thing????<br><br>🗣️ wow, looks like it doesnt take much to be an ""influencer""<br><br>🗣️ i never listen to ""influencers"". for me the term ""influencer"" is wrong for these people. they are just overpaid and most of the times underqualified advertisers","influencers, influencer, influencers influencers, company",,0.49394633121513226,205.86458333333334,0.021095484826039537,0.10510732790354543,0.873797187270415,0.844436693410006,0.019881409138252308,14.932291666666666,27,-0.0840118430775059,0.126202812729585,0.010602530898977757,5.262690188904886,0.49394633121513226,17.450343332253727,18.22044991336817,18.22044991336817
